1 Nephi
1	1	1	1
1	2	1	1
1	3	1	2
1	4	1	3
1	5	1	4
1	6	1	5
1	7	1	6
1	8	1	7
1	9	1	8
1	10	1	9
1	11	1	9	10
1	12	1	11
1	13	1	11	12
1	14	1	13
1	15	1	14
1	16	1	15	16
1	17	1	16	17
1	18	1	18
1	19	1	19	20
1	20	1	21	23
2	1	1	24	25
2	2	1	26
2	3	1	27
2	4	1	28	29
2	5	1	30	32
2	6	1	33
2	7	1	34
2	8	1	35
2	9	1	36
2	10	1	37
2	11	1	38	39
2	12	1	40	41
2	13	1	42	43
2	14	1	44	45
2	15	1	46
2	16	1	47	48
2	17	1	49	50
2	18	1	51	52
2	19	1	53
2	20	1	54
2	21	1	55
2	22	1	56
2	23	1	57
2	24	1	58
3	1	1	59
3	2	1	60
3	3	1	61
3	4	1	62
3	5	1	63
3	6	1	64
3	7	1	65
3	8	1	66
3	9	1	67
3	10	1	68
3	11	1	68	69
3	12	1	70
3	13	1	71	72
3	14	1	73	74
3	15	1	75
3	16	1	76	78
3	17	1	78
3	18	1	79	81
3	19	1	82
3	20	1	83
3	21	1	84
3	22	1	85
3	23	1	86
3	24	1	87
3	25	1	88
3	26	1	89
3	27	1	90
3	28	1	91	92
3	29	1	93	95
3	30	1	96
3	31	1	97	98
4	1	1	99
4	2	1	100
4	3	1	101	102
4	4	1	103
4	5	1	104	105
4	6	1	106
4	7	1	107
4	8	1	108
4	9	1	109
4	10	1	110	111
4	11	1	112
4	12	1	113
4	13	1	114	115
4	14	1	116
4	15	1	117
4	16	1	118
4	17	1	119
4	18	1	120
4	19	1	121
4	20	1	122	124
4	21	1	124
4	22	1	125
4	23	1	126
4	24	1	127
4	25	1	128
4	26	1	129
4	27	1	130
4	28	1	131	132
4	29	1	133
4	30	1	134
4	31	1	135
4	32	1	136
4	33	1	137
4	34	1	138	139
4	35	1	140	142
4	36	1	143
4	37	1	144
4	38	1	145
5	1	1	146
5	2	1	146	147
5	3	1	148
5	4	1	149
5	5	1	150	151
5	6	1	152
5	7	1	153
5	8	1	154	156
5	9	1	157
5	10	1	158
5	11	1	159	160
5	12	1	161
5	13	1	162	163
5	14	1	164	165
5	15	1	166
5	16	1	167	168
5	17	1	169
5	18	1	169
5	19	1	170	171
5	20	1	172
5	21	1	173
5	22	1	174
6	1	2	1
6	2	2	2
6	3	2	3
6	4	2	4
6	5	2	5
6	6	2	6
7	1	2	7
7	2	2	8
7	3	2	9
7	4	2	10
7	5	2	11
7	6	2	12
7	7	2	13
7	8	2	14
7	9	2	15
7	10	2	16
7	11	2	17
7	12	2	18
7	13	2	19	20
7	14	2	21	23
7	15	2	24	25
7	16	2	26	27
7	17	2	28	29
7	18	2	30
7	19	2	31	32
7	20	2	33
7	21	2	34	36
7	22	2	37	39
8	1	2	40
8	2	2	41
8	3	2	42
8	4	2	43
8	5	2	44
8	6	2	45
8	7	2	46
8	8	2	47
8	9	2	48
8	10	2	49
8	11	2	50	51
8	12	2	52	53
8	13	2	54
8	14	2	55	56
8	15	2	57
8	16	2	58
8	17	2	59	60
8	18	2	61
8	19	2	62
8	20	2	63	64
8	21	2	65
8	22	2	66
8	23	2	67
8	24	2	68	69
8	25	2	70
8	26	2	71	72
8	27	2	73	75
8	28	2	76
8	29	2	77
8	30	2	78
8	31	2	79
8	32	2	80	81
8	33	2	82	83
8	34	2	84
8	35	2	85
8	36	2	86	87
8	37	2	88	89
8	38	2	90	91
9	1	2	92
9	2	2	93	95
9	3	2	96
9	4	2	97	98
9	5	2	99
9	6	2	100	102
10	1	3	1
10	2	3	2
10	3	3	2	3
10	4	3	4
10	5	3	5
10	6	3	6
10	7	3	7
10	8	3	8	10
10	9	3	11
10	10	3	12
10	11	3	13	15
10	12	3	16
10	13	3	17
10	14	3	18	19
10	15	3	20	21
10	16	3	22
10	17	3	23	26
10	18	3	27	28
10	19	3	29	32
10	20	3	33
10	21	3	34	35
10	22	3	36
11	1	3	37	38
11	2	3	39
11	3	3	40
11	4	3	41
11	5	3	42
11	6	3	43	44
11	7	3	45
11	8	3	46
11	9	3	47
11	10	3	48
11	11	3	49	50
11	12	3	51
11	13	3	52	53
11	14	3	54
11	15	3	55
11	16	3	56
11	17	3	57
11	18	3	58
11	19	3	59	60
11	20	3	61
11	21	3	62	63
11	22	3	64
11	23	3	65
11	24	3	66	67
11	25	3	68	69
11	26	3	70
11	27	3	71	74
11	28	3	75	77
11	29	3	78	79
11	30	3	80	81
11	31	3	82	85
11	32	3	86
11	33	3	87
11	34	3	88
11	35	3	89	92
11	36	3	93	95
12	1	3	96	98
12	2	3	99
12	3	3	100	101
12	4	3	102	109
12	5	3	110	111
12	6	3	112
12	7	3	113
12	8	3	114
12	9	3	115	116
12	10	3	116	117
12	11	3	118	119
12	12	3	120
12	13	3	121
12	14	3	122
12	15	3	123
12	16	3	124
12	17	3	125
12	18	3	126	127
12	19	3	128	129
12	20	3	130
12	21	3	131	132
12	22	3	133
12	23	3	134
13	1	3	135
13	2	3	136	137
13	3	3	138
13	4	3	139
13	5	3	140
13	6	3	141
13	7	3	142
13	8	3	143
13	9	3	144
13	10	3	145
13	11	3	146
13	12	3	147
13	13	3	148
13	14	3	149	150
13	15	3	151
13	16	3	152
13	17	3	153
13	18	3	154
13	19	3	155
13	20	3	156	157
13	21	3	158
13	22	3	159
13	23	3	160	164
13	24	3	165
13	25	3	166
13	26	3	167	169
13	27	3	170
13	28	3	171
13	29	3	172	175
13	30	3	176	177
13	31	3	178
13	32	3	179
13	33	3	180
13	34	3	181	183
13	35	3	184	185
13	36	3	186
13	37	3	187	189
13	38	3	190
13	39	3	191
13	40	3	192	193
13	41	3	194	197
13	42	3	198	200
14	1	3	201
14	2	3	201	205
14	3	3	206	208
14	4	3	209
14	5	3	210	212
14	6	3	213
14	7	3	214	216
14	8	3	217	218
14	9	3	219
14	10	3	220	223
14	11	3	224	225
14	12	3	226	228
14	13	3	229
14	14	3	230	231
14	15	3	232
14	16	3	233	235
14	17	3	236	237
14	18	3	238
14	19	3	238
14	20	3	239
14	21	3	240	241
14	22	3	242
14	23	3	243	245
14	24	3	246	247
14	25	3	248
14	26	3	249	250
14	27	3	251
14	28	3	252	253
14	29	3	254
14	30	3	255	256
15	1	4	1
15	2	4	2
15	3	4	3	4
15	4	4	5
15	5	4	6
15	6	4	7
15	7	4	8
15	8	4	9
15	9	4	10
15	10	4	11	12
15	11	4	13
15	12	4	14	15
15	13	4	16
15	14	4	17	19
15	15	4	20	22
15	16	4	23	24
15	17	4	25	27
15	18	4	28	29
15	19	4	30	31
15	20	4	32	34
15	21	4	35	36
15	22	4	37
15	23	4	38
15	24	4	39	40
15	25	4	41	42
15	26	4	43
15	27	4	44	45
15	28	4	46
15	29	4	47
15	30	4	48	49
15	31	4	50
15	32	4	51	52
15	33	4	53	57
15	34	4	58	59
15	35	4	60	61
15	36	4	62	64
16	1	5	1
16	2	5	2
16	3	5	3
16	4	5	4
16	5	5	5
16	6	5	6
16	7	5	7
16	8	5	8	9
16	9	5	10
16	10	5	11	12
16	11	5	13	14
16	12	5	15
16	13	5	16
16	14	5	17	18
16	15	5	19
16	16	5	20
16	17	5	21
16	18	5	22
16	19	5	23	24
16	20	5	25
16	21	5	26
16	22	5	27
16	23	5	28	29
16	24	5	30
16	25	5	31
16	26	5	32
16	27	5	33
16	28	5	34
16	29	5	35	36
16	30	5	37
16	31	5	38
16	32	5	39	41
16	33	5	42	43
16	34	5	44
16	35	5	45	46
16	36	5	47
16	37	5	48
16	38	5	49	52
16	39	5	53	54
17	1	5	55	56
17	2	5	57
17	3	5	58	60
17	4	5	61
17	5	5	62	64
17	6	5	65	67
17	7	5	68	69
17	8	5	70
17	9	5	71
17	10	5	72
17	11	5	73	74
17	12	5	75	76
17	13	5	77	79
17	14	5	80	82
17	15	5	83
17	16	5	84
17	17	5	85	87
17	18	5	88	89
17	19	5	90	92
17	20	5	93	96
17	21	5	97
17	22	5	98	102
17	23	5	103
17	24	5	104
17	25	5	105	106
17	26	5	107	108
17	27	5	109
17	28	5	110
17	29	5	111
17	30	5	112
17	31	5	113	116
17	32	5	117
17	33	5	118
17	34	5	119	120
17	35	5	121	125
17	36	5	126	127
17	37	5	128
17	38	5	129
17	39	5	130
17	40	5	131	133
17	41	5	133	135
17	42	5	136	137
17	43	5	138	140
17	44	5	141	143
17	45	5	144	147
17	46	5	148	150
17	47	5	151	152
17	48	5	153	155
17	49	5	156
17	50	5	157	158
17	51	5	159
17	52	5	160	162
17	53	5	163
17	54	5	164
17	55	5	165	167
18	1	5	168	169
18	2	5	170	171
18	3	5	172
18	4	5	173	174
18	5	5	175
18	6	5	176	178
18	7	5	179
18	8	5	180	181
18	9	5	182	184
18	10	5	185	187
18	11	5	188	189
18	12	5	190
18	13	5	191	194
18	14	5	195
18	15	5	196	198
18	16	5	199
18	17	5	200	201
18	18	5	202	204
18	19	5	205	206
18	20	5	207	208
18	21	5	209	210
18	22	5	211
18	23	5	212	213
18	24	5	214	215
18	25	5	216	217
19	1	5	218	219
19	2	5	220	222
19	3	5	223	224
19	4	5	225	226
19	5	5	227	228
19	6	5	229	231
19	7	5	232	235
19	8	5	236
19	9	5	237	238
19	10	5	239	244
19	11	5	245	247
19	12	5	248	250
19	13	5	251
19	14	5	252
19	15	5	253
19	16	5	254	255
19	17	5	256	257
19	18	5	258
19	19	5	259
19	20	5	260	261
19	21	5	262	264
19	22	6	1	2
19	23	6	3	5
19	24	6	6	7
20	1	6	8
20	2	6	9
20	3	6	10
20	4	6	11
20	5	6	12
20	6	6	13
20	7	6	14
20	8	6	15
20	9	6	16
20	10	6	17
20	11	6	18
20	12	6	19
20	13	6	20
20	14	6	21
20	15	6	22
20	16	6	23
20	17	6	24
20	18	6	25
20	19	6	26
20	20	6	27
20	21	6	28
20	22	6	29
21	1	6	30	31
21	2	6	32
21	3	6	33
21	4	6	34
21	5	6	35
21	6	6	36
21	7	6	37
21	8	6	38
21	9	6	39
21	10	6	40
21	11	6	41
21	12	6	42
21	13	6	43
21	14	6	44
21	15	6	45
21	16	6	46
21	17	6	47
21	18	6	48
21	19	6	49
21	20	6	50
21	21	6	51
21	22	6	52
21	23	6	53
21	24	6	54
21	25	6	55
21	26	6	56
22	1	7	1	2
22	2	7	3	4
22	3	7	5	6
22	4	7	7	10
22	5	7	11	12
22	6	7	13	14
22	7	7	15	16
22	8	7	17	18
22	9	7	19	20
22	10	7	21
22	11	7	22
22	12	7	23	25
22	13	7	26	27
22	14	7	28	31
22	15	7	32	33
22	16	7	34	35
22	17	7	36	37
22	18	7	38	40
22	19	7	41	42
22	20	7	43	45
22	21	7	46	47
22	22	7	48	49
22	23	7	50	54
22	24	7	55
22	25	7	56	59
22	26	7	60	62
22	27	7	63
22	28	7	64
22	29	7	65
22	30	7	66	67
22	31	7	68	70

2 Nephi
1	1	1	1
1	2	1	2
1	3	1	3
1	4	1	4	5
1	5	1	6	9
1	6	1	10
1	7	1	11	15
1	8	1	16	17
1	9	1	18	21
1	10	1	22	23
1	11	1	24
1	12	1	25	26
1	13	1	27
1	14	1	28
1	15	1	29
1	16	1	30
1	17	1	31
1	18	1	32
1	19	1	33	34
1	20	1	34
1	21	1	35	36
1	22	1	36	37
1	23	1	38	39
1	24	1	40	42
1	25	1	43	45
1	26	1	46	49
1	27	1	50	51
1	28	1	52	53
1	29	1	54
1	30	1	55
1	31	1	56	57
1	32	1	58
2	1	1	59	60
2	2	1	61
2	3	1	62	63
2	4	1	64	66
2	5	1	67	70
2	6	1	71
2	7	1	72
2	8	1	73	75
2	9	1	76	77
2	10	1	78	80
2	11	1	81	84
2	12	1	85	87
2	13	1	88	93
2	14	1	94	96
2	15	1	97	98
2	16	1	99	100
2	17	1	101	102
2	18	1	103	104
2	19	1	105
2	20	1	106
2	21	1	107	110
2	22	1	111	112
2	23	1	113
2	24	1	114
2	25	1	115
2	26	1	116	118
2	27	1	119	121
2	28	1	122	123
2	29	1	124	125
2	30	1	126	128
3	1	2	1	2
3	2	2	3
3	3	2	4
3	4	2	5	6
3	5	2	6	9
3	6	2	10
3	7	2	11	12
3	8	2	13	14
3	9	2	15
3	10	2	16
3	11	2	17	18
3	12	2	19	23
3	13	2	24
3	14	2	25	28
3	15	2	29	30
3	16	2	31
3	17	2	32	35
3	18	2	36	37
3	19	2	38	39
3	20	2	40	41
3	21	2	42	43
3	22	2	44
3	23	2	45
3	24	2	46	47
3	25	2	48	50
4	1	3	1
4	2	3	2	5
4	3	3	6	7
4	4	3	8	9
4	5	3	10	11
4	6	3	12
4	7	3	13
4	8	3	14
4	9	3	15	16
4	10	3	17
4	11	3	18	21
4	12	3	22	23
4	13	3	24
